,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Fuel_Efficiency,Engine,Power,Seats,New_Price,Price,Annual_Km_Driven,Age
0,1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,0,0,First,19.67,1582.0,126.2,5.0,20.48,12.5,4100.0,10
1,2,Honda Jazz V,Chennai,2011,46000,1,0,First,13.0,1199.0,88.7,5.0,8.61,4.5,3285.71,14
2,3,Maruti Ertiga VDI,Chennai,2012,87000,0,0,First,20.77,1248.0,88.76,7.0,20.48,6.0,6692.31,13
3,4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,0,1,Second,15.2,1968.0,140.8,5.0,20.48,17.74,3389.17,12
4,6,Nissan Micra Diesel XV,Jaipur,2013,86999,0,0,First,23.08,1461.0,63.1,5.0,20.48,3.5,7249.92,12
5,7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,0,1,First,11.36,2755.0,171.5,8.0,21.0,17.5,4000.0,9
6,8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,0,0,First,20.54,1598.0,103.6,5.0,20.48,5.2,5369.17,12
7,9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,0,0,Second,22.3,1248.0,74.0,5.0,20.48,1.95,5071.69,13
8,10,Maruti Ciaz Zeta,Kochi,2018,25692,1,0,First,21.56,1462.0,103.25,5.0,10.65,9.95,3670.29,7
9,11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,1,1,First,16.8,1497.0,116.3,5.0,20.48,4.49,4615.38,13
10,12,Maruti Swift VDI BSIV,Jaipur,2015,64424,0,0,First,25.2,1248.0,74.0,5.0,20.48,5.6,6442.4,10
11,13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,0,1,First,12.7,2179.0,187.7,5.0,20.48,27.0,6545.45,11
12,14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,0,1,Second,0.0,2179.0,115.0,5.0,20.48,17.5,6538.46,13
13,15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,0,0,First,13.5,2477.0,175.56,7.0,32.01,15.0,10000.0,11
14,16,Honda Amaze S i-Dtech,Kochi,2016,58950,0,0,First,25.8,1498.0,98.6,5.0,20.48,5.4,6550.0,9
15,17,Maruti Swift DDiS VDI,Jaipur,2017,25000,0,0,First,28.4,1248.0,74.0,5.0,20.48,5.99,3125.0,8
16,18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,0,0,First,20.45,1461.0,83.8,5.0,20.48,6.34,7042.64,11
17,19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,0,1,First,14.84,2143.0,167.62,5.0,20.48,28.0,7136.36,11
18,20,BMW 3 Series 320d,Kochi,2014,32982,0,1,First,22.69,1995.0,190.0,5.0,47.87,18.55,2998.36,11
19,21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,0,0,Second,23.65,1248.0,88.5,5.0,20.48,8.25,5539.2,10
20,22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,1,1,First,13.53,1984.0,177.01,5.0,20.48,23.5,5598.5,10
21,23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,1,0,First,18.5,1197.0,80.0,5.0,20.48,1.87,3053.8,15
22,24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,1,1,First,14.4,1598.0,103.6,5.0,20.48,2.85,2200.0,15
23,25,Honda City Corporate Edition,Mumbai,2012,51920,1,0,First,16.8,1497.0,116.3,5.0,20.48,4.25,3993.85,13
24,26,Nissan Micra Diesel XV,Hyderabad,2012,54000,0,0,First,16.48,1461.0,63.1,5.0,20.48,4.25,4153.85,13
25,27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,1,0,Second,20.92,998.0,67.1,5.0,20.48,2.75,4500.0,12
26,28,Honda WRV i-VTEC VX,Kochi,2018,37430,1,0,First,17.5,1199.0,88.7,5.0,10.57,9.9,5347.14,7
27,29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,0,0,Fourth & Above,12.8,2494.0,102.0,7.0,20.48,4.0,14555.56,18
28,30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,0,0,First,19.01,1461.0,108.45,5.0,20.48,7.75,5166.67,12
29,31,Toyota Corolla Altis G,Delhi,2012,87615,1,0,First,14.53,1798.0,138.1,5.0,20.48,6.75,6739.62,13
30,32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,0,1,Second,11.18,2696.0,184.0,7.0,20.48,12.5,6000.0,12
31,33,Audi A6 2.7 TDI,Kolkata,2010,35000,0,1,First,12.4,2698.0,179.5,5.0,20.48,11.5,2333.33,15
32,34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,1,0,Second,16.09,1598.0,103.5,5.0,12.33,6.98,5039.18,11
33,35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,1,0,Second,14.0,1061.0,64.0,5.0,20.48,1.85,5238.5,16
34,36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,0,0,First,24.3,1248.0,88.5,5.0,11.12,8.63,7153.57,7
35,37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,1,0,First,18.15,1198.0,82.0,5.0,20.48,4.85,6500.0,8
36,38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,0,1,First,11.74,2987.0,254.8,5.0,20.48,28.0,7083.33,12
37,39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,0,0,First,22.07,1199.0,73.9,5.0,20.48,5.0,5166.67,12
38,40,Maruti Alto LXi,Delhi,2008,90000,1,0,Second,19.7,796.0,46.3,5.0,20.48,1.25,5294.12,17
39,41,Tata Nano LX SE,Kochi,2014,19698,1,0,First,25.4,624.0,37.5,4.0,20.48,1.53,1790.73,11
40,42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,0,0,First,25.32,1198.0,77.0,6.0,20.48,5.58,2754.12,8
41,43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,1,0,First,18.5,1197.0,82.9,5.0,20.48,4.74,3226.09,11
42,44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,1,1,First,14.62,1999.0,149.92,5.0,23.64,8.85,4215.82,11
43,45,Toyota Corolla Altis G AT,Mumbai,2016,52001,1,1,First,14.28,1798.0,138.03,5.0,20.48,10.11,5777.89,9
44,46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,0,0,Second,14.9,1991.0,112.2,5.0,20.48,4.25,3412.06,17
45,47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,1,0,First,11.25,2694.0,163.7,7.0,18.64,10.95,5438.77,13
46,48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,0,0,First,24.4,1120.0,71.0,5.0,20.48,3.85,6818.18,11
